,precision,recall,f1-score,support
Etat,0.0,0.0,0.0,67.0
Inland,0.9285714285714286,0.38235294117647056,0.5416666666666667,102.0
International,0.90625,0.7682119205298014,0.831541218637993,151.0
Kultur,0.0,0.0,0.0,54.0
Panorama,0.3888888888888889,0.9583333333333334,0.5532646048109966,168.0
Sport,0.9724770642201835,0.8833333333333333,0.925764192139738,120.0
Web,0.7023255813953488,0.8988095238095238,0.7885117493472585,168.0
Wirtschaft,0.7916666666666666,0.6737588652482269,0.7279693486590039,141.0
Wissenschaft,0.0,0.0,0.0,57.0
accuracy,0.6498054474708171,0.6498054474708171,0.6498054474708171,0.6498054474708171
macro avg,0.5211310699713907,0.5071999908256322,0.48541308669573957,1028.0
weighted avg,0.6256851307669841,0.6498054474708171,0.6030802847574047,1028.0
